Species,subspecies,Specimen #,Measurer,Collection,Collection Year,Collection Month,Collection Day,Country,State/province,County/District,Locality,Elevation,BL Average,BW Average,BD Average,Tarsus Average,Kipp's Average,WC Average,Tail,Age,Sex
Tyrannus tyrannus,null,12276,JIGA,American Museum of Natural History,1919,5,12,Canada,Ontario,null,Coldstream,null,13.6,7.4,6,18.7,40.3,121.5,81,Adult,Male
Tyrannus tyrannus,null,25635,JIGA,American Museum of Natural History,1842,null,null,United States of America,Pennsylvania,null,Pennsylvania,null,14.5,7.4,6.4,18.1,39.75,120.5,78,Adult,Male
Tyrannus caudifasciatus,flavescens,42645,JIGA,American Museum of Natural History,1802,3,null,Cuba,null,null,null,null,19.1,8.8,6.7,22.7,22.85,102.5,80,Adult,Male
Tyrannus caudifasciatus,bahamensis,42650,JIGA,American Museum of Natural History,1886,4,7,Bahamas,null,null,Abaco,null,20.8,9.4,7.3,21.65,null,null,null,Adult,Unknown
Tyrannus tyrannus,null,42885,JIGA,American Museum of Natural History,null,null,null,Panama,null,null,null,null,14.3,7.8,5.8,18.35,42.5,121.5,83,Adult,Male
Tyrannus tyrannus,null,47452,JIGA,American Museum of Natural History,1889,6,5,Canada,British Columbia,null,Mt. Lehman,null,13.3,7.4,6,18.8,39.35,119,78,Adult,Male
Tyrannus caudifasciatus,flavescens,57112,JIGA,American Museum of Natural History,1892,3,1,Cuba,null,null,Trinidad,null,20.6,8.7,7.2,22.4,23.25,107,85,Adult,Male
Tyrannus caudifasciatus,flavescens,57114,JIGA,American Museum of Natural History,1892,3,2,Cuba,null,null,Trinidad,null,21.2,8.7,7.4,22.4,23.15,107,86,Adult,Male
Tyrannus caudifasciatus,flavescens,57119,JIGA,American Museum of Natural History,1892,3,12,Cuba,null,null,Trinidad,null,19.4,8.8,6.8,23.35,24.35,108,85,Adult,Male
Tyrannus caudifasciatus,flavescens,57122,JIGA,American Museum of Natural History,1892,3,28,Cuba,null,null,Trinidad,null,20.7,8.5,7.4,22.75,24.6,105.5,83,Adult,Male
Tyrannus caudifasciatus,flavescens,57123,JIGA,American Museum of Natural History,1892,3,28,Cuba,null,null,Trinidad,null,21,8.4,7.2,22.95,23.9,103.5,83,Adult,Male
Tyrannus savana,sanctaemartae,70874,JIGA,American Museum of Natural History,1899,1,23,Colombia,null,null,Bonda Santa Marta,null,11.7,6.2,5.1,17.15,31.9,99.5,null,Adult,Female
Tyrannus savana,sanctaemartae,70877,JIGA,American Museum of Natural History,1898,9,10,Colombia,null,null,Cienaga de Santa Marta,null,11.2,5.9,5,16.9,null,92.5,null,Juvenile,Unknown
Tyrannus savana,sanctaemartae,72554,JIGA,American Museum of Natural History,1899,1,28,Colombia,null,null,Bonda Santa Marta,null,11.9,5.8,5.2,17.05,38.1,108.5,234,Adult,Male
Tyrannus savana,sanctaemartae,72556,JIGA,American Museum of Natural History,1899,1,31,Colombia,null,null,Bonda Santa Marta,null,12.2,5.9,5.4,18.15,38.05,106.5,298,Adult,Male
Tyrannus savana,sanctaemartae,72557,JIGA,American Museum of Natural History,1899,2,4,Colombia,null,null,Bonda Santa Marta,null,11.6,6.4,5.4,17.55,36,106.5,291,Adult,Male
Tyrannus savana,sanctaemartae,72558,JIGA,American Museum of Natural History,1899,2,22,Colombia,null,null,Bonda Santa Marta,null,12.4,6.3,5.5,17.65,31,97.5,199,Adult,Male
Tyrannus savana,sanctaemartae,72559,JIGA,American Museum of Natural History,1899,5,29,Colombia,Bonda,null,"Valparaiso, Bonda, Calif.",null,12.3,6.1,5.3,18.15,null,null,226,Adult,Male
Tyrannus crassirostris,pompalis,91524,JIGA,American Museum of Natural History,1903,12,20,Mexico,Sinaloa,null,Escuinapa,100 feet,20.3,11.6,10.9,20.65,43.05,138,98,Adult,Male
Tyrannus crassirostris,pompalis,91525,JIGA,American Museum of Natural History,1903,12,22,Mexico,Sinaloa,null,Escuinapa,100 feet,20.5,12.4,11.1,21.8,33.35,126.5,95,Adult,Male
Tyrannus crassirostris,pompalis,91526,JIGA,American Museum of Natural History,1903,12,24,Mexico,Sinaloa,null,Escuinapa,100 feet,21.2,12.3,11.3,22.55,38.9,133.5,91,Adult,Male
Tyrannus crassirostris,pompalis,91527,JIGA,American Museum of Natural History,1904,1,30,Mexico,Sinaloa,null,Escuinapa,null,20.7,11.4,11.4,22.05,38.5,128,90,Adult,Female
Tyrannus crassirostris,pompalis,91528,JIGA,American Museum of Natural History,1904,1,30,Mexico,Sinaloa,null,Escuinapa,null,20.7,10.7,10.5,20.25,40.45,130.5,94,Adult,Female
Tyrannus crassirostris,pompalis,91529,JIGA,American Museum of Natural History,1904,3,10,Mexico,Sinaloa,null,Escuinapa,null,21.4,11.6,11.1,22.05,40.7,131,90,Adult,Female
Tyrannus crassirostris,pompalis,91530,JIGA,American Museum of Natural History,1904,3,12,Mexico,Sinaloa,null,Escuinapa,null,20.5,11.8,10,21.2,40.75,130,96,Adult,Male
Tyrannus crassirostris,pompalis,91531,JIGA,American Museum of Natural History,1904,4,2,Mexico,Sinaloa,null,Escuinapa,null,21.2,12.1,11.2,20.9,34.7,125.5,91,Adult,Male
Tyrannus savana,sanctaemartae,97046,JIGA,American Museum of Natural History,1898,9,9,Colombia,null,null,Cienaga de Santa Marta,null,11.9,6.1,5.5,17.25,null,null,null,Adult,Male
Tyrannus savana,sanctaemartae,97047,JIGA,American Museum of Natural History,1899,9,12,Colombia,null,null,Cienaga de Santa Marta,null,12.1,6.1,4.9,17.05,null,null,177,Adult,Male
Tyrannus savana,sanctaemartae,97669,JIGA,American Museum of Natural History,1899,2,4,Colombia,null,null,Bonda Santa Marta,null,12.4,6.2,5.4,17.35,32.75,98,198,Adult,Female
Tyrannus crassirostris,pompalis,104825,JIGA,American Museum of Natural History,1905,1,4,Mexico,Tepic,null,Amatlan de Canas,null,18.6,11.6,10.4,21.5,33.55,125.5,96,Adult,Male
Tyrannus crassirostris,pompalis,104826,JIGA,American Museum of Natural History,1905,2,1,Mexico,Tepic,null,"Ojo de Agua, near Amatlan de Canas",null,19.3,11.4,10.4,21.3,39.7,132,87,Adult,Male
Tyrannus crassirostris,pompalis,104827,JIGA,American Museum of Natural History,1905,2,20,Mexico,Tepic,null,"Estancia, near Amatlan de Canas",null,19.7,11.4,10.5,21.55,35.15,129.5,93,Adult,Female
Tyrannus crassirostris,pompalis,104829,JIGA,American Museum of Natural History,1905,3,5,Mexico,Tepic,null,"Rio Ameca, near Amatlan de Canas",null,18.7,11.2,10,21.75,33.5,124.5,94,Adult,Male
Tyrannus crassirostris,pompalis,104830,JIGA,American Museum of Natural History,1905,3,5,Mexico,Tepic,null,"Rio Ameca, near Amatlan de Canas",null,19.1,11.2,9.9,20.85,34.1,127,91,Adult,Female
Tyrannus crassirostris,pompalis,104831,JIGA,American Museum of Natural History,1905,3,6,Mexico,Tepic,null,"Rio Ameca, near Amatlan de Canas",null,19.1,11.1,10.6,22.45,38.65,130.5,95,Adult,Female
Tyrannus tyrannus,null,116691,JIGA,American Museum of Natural History,1912,4,17,Colombia,Huila,null,Near San Agust’n-Huila,5000 feet,13.2,7.2,6.3,18.05,33.15,109.5,74,Adult,Female
Tyrannus tyrannus,null,131081,JIGA,American Museum of Natural History,1893,6,9,United States of America,Maryland,Baltimore County,Powhatan,null,13,7.6,6.4,18.4,35.95,110.5,77,Adult,Female
Tyrannus tyrannus,null,144253,JIGA,American Museum of Natural History,1917,4,19,Nicaragua,null,null,Matagalpa,2500 feet,13.1,7.7,7,18.65,39.8,116,79,Adult,Male
Tyrannus caudifasciatus,bahamensis,173676,JIGA,American Museum of Natural History,1922,2,7,Bahamas,null,null,Nassau,null,20.5,8.8,7.4,22.45,23.75,107,83,Adult,Male
Tyrannus caudifasciatus,bahamensis,173677,JIGA,American Museum of Natural History,1922,2,null,Bahamas,null,null,Nassau,null,19.6,9,8,22.55,23.25,103,81,Adult,Female
Tyrannus melancholicus,melancholicus,232208,JIGA,American Museum of Natural History,1926,5,25,Peru,null,null,"Puerto Indiana, Rio Amazonas",null,17.6,9.8,8.4,18.1,31.05,116.5,96,Adult,Male
Tyrannus melancholicus,melancholicus,232209,JIGA,American Museum of Natural History,1926,5,17,Peru,null,null,"Puerto Indiana, Rio Amazonas",null,18.6,9.5,8.1,19.7,34,115.5,92,Adult,Male
Tyrannus melancholicus,melancholicus,232210,JIGA,American Museum of Natural History,1926,6,4,Peru,null,null,"Puerto Indiana, Rio Amazonas",null,16.5,8.9,7.2,18.45,28.55,115.5,97,Adult,Male
Tyrannus melancholicus,melancholicus,232222,JIGA,American Museum of Natural History,1926,5,8,Ecuador,null,null,"Boca, R. Curaray",null,17.5,9.9,8.6,19.95,29.35,108,87,Adult,Female
Tyrannus tyrannus,null,238422,JIGA,American Museum of Natural History,1917,3,24,Peru,Ucayali,null,"Sarayacun, R. Ucayali",null,13.9,7.2,6.2,18.1,40.5,124.5,83,Adult,Male
Tyrannus melancholicus,melancholicus,239428,JIGA,American Museum of Natural History,1928,2,13,Peru,null,null,"Lagarto, Alto Ucayali",null,16.5,9.2,7.1,17.45,29.05,111.5,91,Adult,Male
Tyrannus melancholicus,melancholicus,239429,JIGA,American Museum of Natural History,1928,2,25,Peru,null,null,"Lagarto, Alto Ucayali",null,16.5,8.7,7.2,18.25,25.1,108,85,Adult,Female
Tyrannus melancholicus,melancholicus,240554,JIGA,American Museum of Natural History,1927,1,2,Peru,null,null,"Santa Rosa, Alto Ucayali",null,17.7,9.1,7.4,18.35,30.8,118,92,Adult,Male
Tyrannus melancholicus,melancholicus,256327,JIGA,American Museum of Natural History,1925,11,10,Ecuador,null,null,"Boca, Rio Curaray",null,16.7,9,7,18.4,26.45,107.5,86,Adult,Male
Tyrannus savana,circumdatus,277190,JIGA,American Museum of Natural History,1898,8,10,Brazil,null,null,"Santa Clara-Villa Bella Imperatriz, R. Amazon, S. Bank",null,12.5,6.1,4.8,17.5,32.55,103.5,221,Adult,Male
Tyrannus savana,circumdatus,277191,JIGA,American Museum of Natural History,1930,8,14,Brazil,null,null,"Santa Clara-Villa Bella Imperatriz, R. Amazon, S. Bank",null,13.5,6.5,5.2,17.75,33.7,104.5,243,Adult,Male
Tyrannus savana,circumdatus,277193,JIGA,American Museum of Natural History,1930,8,22,Brazil,null,null,"Santa Clara-Villa Bella Imperatriz, R. Amazon, S. Bank",null,12.8,6.3,5.3,17.45,30.55,101,201,Adult,Male
Tyrannus savana,circumdatus,277194,JIGA,American Museum of Natural History,1930,8,28,Brazil,null,null,"Santa Clara-Villa Bella Imperatriz, R. Amazon, S. Bank",null,12.7,6.5,5.5,17.95,35.15,105.5,264,Adult,Male
Tyrannus savana,circumdatus,277195,JIGA,American Museum of Natural History,1930,8,28,Brazil,null,null,"Santa Clara-Villa Bella Imperatriz, R. Amazon, S. Bank",null,12.1,6.4,5.1,17.6,29.8,100,204,Adult,Male
Tyrannus savana,circumdatus,277196,JIGA,American Museum of Natural History,1930,8,10,Brazil,null,null,"Santa Clara-Villa Bella Imperatriz, R. Amazon, S. Bank",null,11.8,6.3,5,17.35,29,100,231,Adult,Male
Tyrannus savana,circumdatus,277197,JIGA,American Museum of Natural History,1930,8,10,Brazil,null,null,"Santa Clara-Villa Bella Imperatriz, R. Amazon, S. Bank",null,12.2,6.6,5.5,17.4,32,102,null,Adult,Male
Tyrannus savana,circumdatus,277199,JIGA,American Museum of Natural History,1930,8,22,Brazil,null,null,"Santa Clara-Villa Bella Imperatriz, R. Amazon, S. Bank",null,12.7,6.8,5.2,17.75,29,99.5,190,Adult,Female
Tyrannus savana,circumdatus,277200,JIGA,American Museum of Natural History,1930,8,23,Brazil,null,null,"Santa Clara-Villa Bella Imperatriz, R. Amazon, S. Bank",null,11.8,5.8,5.2,17.6,32.65,100.5,198,Adult,Male
Tyrannus savana,circumdatus,281363,JIGA,American Museum of Natural History,1931,4,19,Brazil,null,null,"Tauary, R’o Tapajoz",null,11.5,5.8,5.2,17.8,31.25,102,null,Adult,Female
Tyrannus savana,circumdatus,281364,JIGA,American Museum of Natural History,1931,4,21,Brazil,null,null,"Tauary, R’o Tapajoz",null,11.4,6.4,4.9,17.45,34.15,101,192,Adult,Female
Tyrannus savana,circumdatus,286358,JIGA,American Museum of Natural History,1931,4,19,Brazil,null,null,"Tauary, R’o Tapajoz",null,12.5,5.9,5.4,17.8,37.8,110.5,236,Adult,Male
Tyrannus savana,circumdatus,287347,JIGA,American Museum of Natural History,1931,6,8,Brazil,null,null,"Igarape Brabo, R’o Tapajoz",null,12,6.7,5,17.45,37.4,109.5,248,Adult,Male
Tyrannus savana,circumdatus,287351,JIGA,American Museum of Natural History,1931,6,8,Brazil,null,null,"Igarape Brabo, R’o Tapajoz",null,12.4,6.4,5.2,17.45,36.25,110,242,Adult,Male
Tyrannus savana,circumdatus,287352,JIGA,American Museum of Natural History,1931,6,19,Brazil,null,null,"Igarape Brabo, R’o Tapajoz",null,12.8,6.1,5.5,17.25,34.65,103,211,Adult,Male
Tyrannus savana,circumdatus,287353,JIGA,American Museum of Natural History,1931,5,29,Brazil,null,null,"Igarape Brabo, R’o Tapajoz",null,12.1,6.4,5,17.35,39.9,111.5,254,Adult,Male
Tyrannus savana,circumdatus,287359,JIGA,American Museum of Natural History,1931,4,20,Brazil,null,null,"Tauary, R’o Tapajoz",null,11.8,6.4,5.1,17.3,38.5,107.5,222,Adult,Male
Tyrannus savana,circumdatus,287360,JIGA,American Museum of Natural History,1931,4,29,Brazil,null,null,"Tauary, R’o Tapajoz",null,12.3,6.6,4.9,17.6,33.9,104,201,Adult,Male
Tyrannus savana,circumdatus,287361,JIGA,American Museum of Natural History,1931,4,18,Brazil,null,null,"Tauary, R’o Tapajoz",null,11.1,6.1,4.7,16.75,29.85,97,164,Adult,Female
Tyrannus savana,circumdatus,287366,JIGA,American Museum of Natural History,1931,4,13,Brazil,null,null,"Tauary, R’o Tapajoz",null,12.6,6.5,5.8,17.45,39,110,243,Adult,Male
Tyrannus tyrannus,null,368967,JIGA,American Museum of Natural History,1905,3,25,United States of America,Florida,Brerard Co. (N),null,null,13.4,7.8,6.4,18.35,39.5,118,80,Adult,Male
Tyrannus caudifasciatus,flavescens,399457,JIGA,American Museum of Natural History,1925,12,5,Cuba,Santa Clara,null,Basilda,null,19.5,8.2,7.6,23.15,24.6,109,84,Adult,Male
Tyrannus caudifasciatus,flavescens,399460,JIGA,American Museum of Natural History,1912,1,18,Cuba,null,null,Guantanamo,null,20.5,8.3,7.1,21.65,22.4,102.5,84,Adult,Female
Tyrannus caudifasciatus,flavescens,399461,JIGA,American Museum of Natural History,1922,2,25,Cuba,null,null,Guantanamo,null,20.8,8.4,6.8,22.55,24.2,107,85,Adult,Male
Tyrannus caudifasciatus,flavescens,399463,JIGA,American Museum of Natural History,1911,3,1,Cuba,null,null,Guantanamo,null,19.8,8.2,7.1,21.8,22.8,102.5,83,Adult,Female
Tyrannus tyrannus,null,408047,JIGA,American Museum of Natural History,1941,4,22,Colombia,null,null,Gorgonilla Island,null,13.3,6.8,5.8,19.35,41.05,127.5,78,Adult,Male
Tyrannus savana,circumdatus,496029,JIGA,American Museum of Natural History,null,null,null,Brazil,null,null,Espirito Santo,null,12.4,6,5,17.7,37.45,106.5,257,Adult,Male
Tyrannus tyrannus,null,496077,JIGA,American Museum of Natural History,1905,12,24,Bolivia,Santa Cruz,null,"Sara, Camp in Woods",750 m,14.3,8.2,6.4,18.2,null,110,69,Juvenile,Male
Tyrannus tyrannus,null,496081,JIGA,American Museum of Natural History,1898,8,null,Ecuador,null,null,Gualea-Pipiri,null,13.8,7.5,5.8,18.25,38.5,113,78,Adult,Male
Tyrannus tyrannus,null,496087,JIGA,American Museum of Natural History,1894,4,null,Venezuela,null,null,Merdida,null,12.9,7.9,6.5,18.35,39.05,112,71,Adult,Female
Tyrannus tyrannus,null,496094,JIGA,American Museum of Natural History,1866,1,null,United States of America,Maryland,null,Maryland,null,14.9,7.3,6.5,19.55,42.15,119.5,80,Adult,Female
Tyrannus crassirostris,pompalis,496190,JIGA,American Museum of Natural History,1891,4,19,Mexico,Tepic,null,"La Laguna, Terro Tepic",null,20.2,11,10.8,20.85,41.4,133.5,97,Adult,Male
Tyrannus caudifasciatus,flavescens,497004,JIGA,American Museum of Natural History,1892,3,21,Cuba,null,null,Trinidad,null,19.9,8.2,7.2,22.55,23,108.5,89,Adult,Female
Tyrannus caudifasciatus,flavescens,497005,JIGA,American Museum of Natural History,null,null,null,Cuba,null,null,Holguin,null,19.4,8.5,7.5,23.15,25.05,108,85,Adult,Male
Tyrannus caudifasciatus,flavescens,497009,JIGA,American Museum of Natural History,null,null,null,Cuba,null,null,Holguin,null,19.8,8.5,7.3,22.35,21.85,103,84,Adult,Female
Tyrannus caudifasciatus,flavescens,497010,JIGA,American Museum of Natural History,1902,3,10,Cuba,null,null,"Manegria, Isle of Pines",null,20.2,8.7,7,22.55,25.95,107.5,85,Adult,Female
Tyrannus caudifasciatus,flavescens,497011,JIGA,American Museum of Natural History,1902,3,14,Cuba,null,null,"Jorobado, Isle of Pines",null,19.2,8.4,7.3,23.05,23.25,102.5,82,Adult,Male
Tyrannus caudifasciatus,flavescens,497012,JIGA,American Museum of Natural History,1902,3,10,Cuba,null,null,"Nueva Gerona, Isle of Pines",null,20.1,8.6,7.3,23.45,24,109.5,86,Adult,Male
Tyrannus caudifasciatus,flavescens,497013,JIGA,American Museum of Natural History,1902,3,23,Cuba,null,null,"Junearo, Isle of Pines",null,20.5,8.7,7.4,21.95,23.05,101.5,80,Adult,Female
Tyrannus caudifasciatus,flavescens,497014,JIGA,American Museum of Natural History,1902,3,23,Cuba,null,null,"Junearo, Isle of Pines",null,18.9,8.2,7.2,22.55,20.7,98.5,79,Adult,Female
Tyrannus caudifasciatus,flavescens,497015,JIGA,American Museum of Natural History,1904,2,11,Cuba,null,null,null,null,19.4,8.1,6.9,22.65,24.1,105,87,Adult,Male
Tyrannus caudifasciatus,flavescens,497016,JIGA,American Museum of Natural History,1904,2,9,Cuba,null,null,null,null,19.5,8.4,7,22.35,22.65,100.5,82,Adult,Female
Tyrannus caudifasciatus,flavescens,497017,JIGA,American Museum of Natural History,1904,2,18,Cuba,null,null,null,null,19.5,8.6,7.3,22.6,24.05,100.5,85,Adult,Female
Tyrannus caudifasciatus,bahamensis,497048,JIGA,American Museum of Natural History,1898,3,29,Bahamas,null,null,Nassau,null,21.3,9.8,8,22.45,26.25,112.5,85,Adult,Male
Tyrannus caudifasciatus,bahamensis,497050,JIGA,American Museum of Natural History,1898,9,11,Bahamas,null,null,Nassau,null,20.6,8.9,6.9,21.55,27.35,111.5,88,Adult,Female
Tyrannus savana,sanctaemartae,756490,JIGA,American Museum of Natural History,null,null,null,Bolivia,null,null,null,null,12.2,6,5.1,17.35,null,null,194,Adult,Male
Tyrannus savana,sanctaemartae,756496,JIGA,American Museum of Natural History,1899,1,31,Colombia,null,null,Bonda Santa Marta,null,12.4,6.4,5.8,17.3,31.2,101,null,Adult,Female
Tyrannus savana,sanctaemartae,756498,JIGA,American Museum of Natural History,1899,1,23,Colombia,null,null,Bonda Santa Marta,null,11.8,6,5.3,18,38.8,108.5,293,Adult,Male
Tyrannus savana,sanctaemartae,756499,JIGA,American Museum of Natural History,1898,9,8,Colombia,null,null,Cienaga de Santa Marta,null,11.6,6.7,5.5,18.95,null,null,null,Juvenile,Female
Tyrannus crassirostris,pompalis,802767,JIGA,American Museum of Natural History,1971,7,24,Mexico,Sonora,null,3 mi. W Alamos,null,20.5,11.7,10.6,20.8,39.6,131.5,98,Adult,Male
Tyrannus tyrannus,null,813465,JIGA,American Museum of Natural History,1974,5,7,Guatemala,Santa Rosa Department,null,6 km N of La Avellana,null,14.6,7.8,6.1,18.15,39.85,119.5,80,Adult,Male
Tyrannus forficatus,null,356,MM,Louisiana State University Museum of Natural Sciences,1894,3,16,United States of America,Louisiana,Iberia Parish,Avery Island,null,14.09,null,null,20.2,50.23,126.84,233,Adult,Male
Tyrannus forficatus,null,357,MM,Louisiana State University Museum of Natural Sciences,1894,4,3,United States of America,Louisiana,Iberia Parish,Avery Island,null,14.14,8.19,6.68,18.545,null,null,144.4,Adult,Female
Tyrannus melancholicus,despotes,755,MM,Louisiana State University Museum of Natural Sciences,1937,3,8,Venezuela,Maracay,null,Aragua,null,17.45,9.8,7.83,16.64,31.05,111.615,91.27,Adult,Unknown
Tyrannus melancholicus,despotes,761,MM,Louisiana State University Museum of Natural Sciences,1937,2,28,Venezuela,Aragua,null,Las Dedicias,null,19.07,10.425,7.48,16.945,28.435,111.83,null,Adult,Female
Tyrannus melancholicus,despotes,762,MM,Louisiana State University Museum of Natural Sciences,1937,8,29,Venezuela,Aragua,null,"Las Dedicias, Maracay",null,17.565,9.505,7.295,18.565,34.985,115.65,99.25,Adult,Male
Tyrannus tyrannus,null,1208,MM,Louisiana State University Museum of Natural Sciences,null,null,null,United States of America,Louisiana,East Baton Rouge,Baton Rouge,null,14.025,7.475,5.98,17.425,38.75,117.845,81.49,Adult,Male
Tyrannus tyrannus,null,1417,MM,Louisiana State University Museum of Natural Sciences,null,null,null,United States of America,Louisiana,Jefferson Parish,Grand Isle,null,14.46,8.375,6,18.11,null,null,null,Adult,Male
Tyrannus forficatus,null,1743,MM,Louisiana State University Museum of Natural Sciences,1937,5,16,United States of America,Texas,null,Deport,null,13.985,7.32,6.245,16.885,null,null,224,Adult,Male
Tyrannus tyrannus,null,1746,MM,Louisiana State University Museum of Natural Sciences,null,null,null,United States of America,Louisiana,Jefferson Parish,Grand Isle,null,12.58,8.57,6.1,19.075,32.165,105.28,74.89,HatchYear,Unknown
Tyrannus vociferans,vociferans,2095,MM,Louisiana State University Museum of Natural Sciences,1938,5,16,United States of America,Texas,Culberson County,"Van Horne, 35 miles East",null,15.63,8.46,6.73,18.7,null,null,null,Adult,Male
Tyrannus vociferans,vociferans,2583,MM,Louisiana State University Museum of Natural Sciences,1939,5,4,United States of America,Texas,Culberson County,"Guadalupe Mountains, Frijole",5600 feet,14.545,8.25,6.415,20.14,39.71,130.85,89.78,Adult,Female
Tyrannus vociferans,vociferans,2693,MM,Louisiana State University Museum of Natural Sciences,1938,6,12,United States of America,Texas,Culberson County,"Guadalupe Mountains, Frijole, Pine Springs Canyon",5300 feet,14.255,9.15,7.355,21.095,null,null,null,Adult,Male
Tyrannus melancholicus,satrapa,2799,MM,Louisiana State University Museum of Natural Sciences,1938,5,2,Mexico,Veracruz,Piedras Negras,El Faro on Natiol pk.,450 ft.,19.605,9.965,7.845,null,null,null,null,Adult,Female
Tyrannus tyrannus,null,2978,MM,Louisiana State University Museum of Natural Sciences,null,null,null,United States of America,Louisiana,West Feliciana Parish,Tunica,null,13.95,8.64,5.945,19.595,41.255,116.3,80.95,Adult,Male
Tyrannus tyrannus,null,3841,MM,Louisiana State University Museum of Natural Sciences,null,null,null,United States of America,Louisiana,East Baton Rouge,Baton Rouge,null,13.635,8.655,null,18.005,39.91,119.18,81.08,Adult,Male
Tyrannus tyrannus,null,4047,MM,Louisiana State University Museum of Natural Sciences,null,null,null,United States of America,Louisiana,Iberia Parish/Jefferson Parish,Avery Island,null,12.96,8.185,5.45,18.075,36.855,109.76,72.76,HatchYear,Male
Tyrannus vociferans,vociferans,5203,MM,Louisiana State University Museum of Natural Sciences,1941,4,18,Mexico,Coahuila,null,Saltillo,5300 feet,15.435,9.26,6.78,20.31,36.005,126.14,88.62,Adult,Female
Tyrannus vociferans,vociferans,5357,MM,Louisiana State University Museum of Natural Sciences,1941,4,16,Mexico,Coahuila,null,Saltillo,5300 feet,15.125,8.775,6.935,19.61,42.44,133.455,null,Adult,Male
Tyrannus couchii,null,5358,MM,Louisiana State University Museum of Natural Sciences,1941,4,25,Mexico,Tamaulipas,null,Villa Gran,null,17.035,10.09,null,19.5,null,null,null,Adult,Male
Tyrannus forficatus,null,6070,MM,Louisiana State University Museum of Natural Sciences,1941,11,1,United States of America,Louisiana,Cameron Parish,Cameron,null,13.19,7.39,5.835,19.515,36.955,114.815,171,Adult,Male
Tyrannus forficatus,null,6071,MM,Louisiana State University Museum of Natural Sciences,1941,10,18,United States of America,Louisiana,East Baton Rouge,"LSU Campus, 7 miles S, Ben Hur road",null,12.52,6.92,5.275,18.315,37.55,115.21,131.59,HatchYear,Male
Tyrannus forficatus,null,6478,MM,Louisiana State University Museum of Natural Sciences,1941,12,5,United States of America,Louisiana,Lafourche Parish,Thibodaux,null,12.66,6.92,5.61,21.03,40.02,113.94,150.22,Adult,Male
Tyrannus forficatus,null,6967,MM,Louisiana State University Museum of Natural Sciences,1942,11,1,United States of America,Louisiana,Cameron Parish,Creole,null,12.655,7.445,5.905,18.63,38.56,118.305,126.94,HatchYear,Male
Tyrannus tyrannus,null,7165,MM,Louisiana State University Museum of Natural Sciences,null,null,null,United States of America,Louisiana,Orleans Parish,New Orleans,null,12.38,7.01,5.35,18.69,35.9,111.76,78.71,HatchYear,Female
Tyrannus tyrannus,null,7166,MM,Louisiana State University Museum of Natural Sciences,null,null,null,United States of America,Louisiana,Orleans Parish,New Orleans,null,13.675,8.23,6.14,19.745,32.6,109.055,null,HatchYear,Male
Tyrannus couchii,null,7632,MM,Louisiana State University Museum of Natural Sciences,1943,2,7,Mexico,Tamaulipas,null,Tampico,null,17.455,11.155,7.905,19.54,32.67,117.32,94.76,Adult,Female
Tyrannus vociferans,vociferans,7634,MM,Louisiana State University Museum of Natural Sciences,1943,1,31,Mexico,Michoacan,null,"Morelia, 15 miles North",null,14.045,8.55,6.755,19.385,34.17,120.05,84.4,Adult,Female
Tyrannus vociferans,vociferans,7635,MM,Louisiana State University Museum of Natural Sciences,1943,1,29,Mexico,Federal District,null,Xochimilco,null,15.42,8.74,6.55,20.645,40.71,135.52,95.64,Adult,Male
Tyrannus tyrannus,null,9280,MM,Louisiana State University Museum of Natural Sciences,null,null,null,United States of America,Louisiana,East Baton Rouge,"LSU campus, Nelson's Wood",null,14.05,7.955,6.76,18.5,34.155,107.815,72.98,Adult,Male
Tyrannus forficatus,null,9871,MM,Louisiana State University Museum of Natural Sciences,1944,10,1,United States of America,Louisiana,East Baton Rouge,"LSU campus, 5 mi South",null,13.475,7.54,5.545,18.62,36.975,112.235,134.14,HatchYear,Male
Tyrannus tyrannus,null,9883,MM,Louisiana State University Museum of Natural Sciences,null,null,null,United States of America,Louisiana,East Baton Rouge,LSU Campus,null,12.445,7.825,6.18,18.27,null,null,null,HatchYear,Male
Tyrannus forficatus,null,10558,MM,Louisiana State University Museum of Natural Sciences,1947,6,19,United States of America,Oklahoma,Blaine County,"Watonga, 2 mi east",null,13.43,7.685,6.415,18.94,null,null,232,Adult,Male
Tyrannus tyrannus,null,11441,MM,Louisiana State University Museum of Natural Sciences,null,null,null,Mexico,San Luis Potosi,null,"Palmira, 43mi N Pan-American HWY",null,12.965,7.945,6.355,18.995,37.85,114.905,73.81,HatchYear,Male
Tyrannus vociferans,vociferans,11442,MM,Louisiana State University Museum of Natural Sciences,1947,8,1,Mexico,San Luis Potosi,null,2 miles NNE of Salinas,7000 feet,15.23,8.455,6.64,18.805,null,null,null,Adult,Male
Tyrannus vociferans,vociferans,11443,MM,Louisiana State University Museum of Natural Sciences,1946,12,7,Mexico,San Luis Potosi,null,"Villa Hidalgo, 2 miles north of village",5000m,14.34,8.835,7.095,19.4,39.825,130.93,85.65,Adult,Male
Tyrannus vociferans,vociferans,11444,MM,Louisiana State University Museum of Natural Sciences,1948,2,19,Mexico,San Luis Potosi,null,"Villa de Reyes, Laguno de las Rusias",6200 feet,14.81,8.345,6.61,20.305,39.39,131.13,90.64,Adult,Female
