Species,subspecies,Specimen #,Measurer,Collection,Collection Year,Collection Month,Collection Day,Country,State/province,County/District,Locality,Elevation,BL Average,BW Average,BD Average,Tarsus Average,Kipp's Average,WC Average,Tail,Age,Sex
Tyrannus caudifasciatus,taylori,232151,MM,Smithsonian National Museum of Natural History,1912,1,27,Puerto Rico,null,null,Aibonito,null,19.5,10.025,7.98,23.67,24.72,111.085,90.72,Adult,Female
Tyrannus caudifasciatus,taylori,232152,MM,Smithsonian National Museum of Natural History,1912,1,27,Puerto Rico,null,null,Aibonito,2000 feet,19.615,9.965,null,23.67,25.02,115.6,94.02,Adult,Male
Tyrannus caudifasciatus,taylori,232153,MM,Smithsonian National Museum of Natural History,1912,1,30,Puerto Rico,null,null,Aibonito,2000 feet,20.235,10.1,8.175,25.91,23.645,113.685,93.97,Adult,Male
Tyrannus caudifasciatus,taylori,232154,MM,Smithsonian National Museum of Natural History,1912,1,31,Puerto Rico,null,null,"Aibonito, 2 mi N",null,21.11,10.725,8.095,24.275,26.125,117.625,95.14,Adult,Male
Tyrannus caudifasciatus,taylori,232155,MM,Smithsonian National Museum of Natural History,1911,12,30,Puerto Rico,null,null,Fajardo,null,20.585,9.865,7.96,23.61,null,null,null,Adult,Unknown
Tyrannus caudifasciatus,taylori,232156,MM,Smithsonian National Museum of Natural History,1912,3,21,Puerto Rico,Vieques,null,"Vieques Island, Ensenada Honda",null,21.51,10.25,7.71,23.59,25.3,112.9,92.64,Adult,Male
Tyrannus caudifasciatus,taylori,232157,MM,Smithsonian National Museum of Natural History,1912,2,12,Puerto Rico,null,null,"Mameyes, Punta Picua",null,19.41,9.725,7.735,21.685,19.69,105.1,null,Adult,Female
Tyrannus caudifasciatus,taylori,232158,MM,Smithsonian National Museum of Natural History,1912,2,27,Puerto Rico,Rio Grande,null,"Mameyes, El Yunque, NE base",null,20.17,10.725,null,23.845,24.585,113.27,94.35,SecondYear,Male
Tyrannus caudifasciatus,taylori,232159,MM,Smithsonian National Museum of Natural History,1912,2,27,Puerto Rico,null,null,"Mameyes, El Yunque. NE Base",null,21.16,10.255,null,23.725,23.855,111.72,91.67,Adult,Female
Tyrannus caudifasciatus,taylori,232160,MM,Smithsonian National Museum of Natural History,1912,1,19,Puerto Rico,null,null,"Cayey, Rio De La Plata",null,20.15,10.185,8.235,24.49,22.4,112.44,null,Adult,Female
Tyrannus caudifasciatus,taylori,232161,MM,Smithsonian National Museum of Natural History,1912,1,18,Puerto Rico,null,null,"Cayey, Sierra De Cayey",null,20.095,10.935,8.2,24.3,25.25,111.965,90.71,Adult,Female
Tyrannus caudifasciatus,taylori,232162,MM,Smithsonian National Museum of Natural History,1912,1,8,Puerto Rico,Caguas,null,"Caguas, 2 mi E",null,20.9,10.025,8.13,24.185,22.74,108.19,90.48,Adult,Female
Tyrannus caudifasciatus,taylori,232163,MM,Smithsonian National Museum of Natural History,1912,1,11,Puerto Rico,null,null,"Caguas, 2 mi E",null,20.4,10.84,8.635,24,23.11,113.9,94.75,Adult,Female
Tyrannus caudifasciatus,taylori,232165,MM,Smithsonian National Museum of Natural History,1911,12,19,Puerto Rico,San Juan,null,"Rio Piedras, 1 mi E",null,21.875,10.09,7.415,23.235,23.985,115.27,94.89,Adult,Male
Tyrannus caudifasciatus,taylori,232166,MM,Smithsonian National Museum of Natural History,1911,12,20,Puerto Rico,null,null,"Rio Piedras, 2 mi S",null,20.765,10.455,7.815,23.175,20.7,105.365,88.63,HatchYear,Male
Tyrannus caudifasciatus,taylori,232167,MM,Smithsonian National Museum of Natural History,1911,12,20,Puerto Rico,null,null,"Rio Piedras, 2 mi S",null,19.175,10.195,8.105,24.05,21.76,108.555,91.58,Adult,Female
Tyrannus caudifasciatus,taylori,232168,MM,Smithsonian National Museum of Natural History,1911,12,22,Puerto Rico,San Juan,null,"Rio Piedras, 4 mi NE",null,19.425,9.69,8.285,23.5,23.905,111.33,92.49,Adult,Female
Tyrannus caudifasciatus,taylori,232169,MM,Smithsonian National Museum of Natural History,1911,12,22,Puerto Rico,San Juan,null,"Rio Piedras, 4 mi NE",null,20.995,10.04,8.52,24.82,25.7,113.725,92.11,Adult,Male
Tyrannus caudifasciatus,taylori,232170,MM,Smithsonian National Museum of Natural History,1911,12,24,Puerto Rico,null,null,"Rio Piedras, 2 mi S",null,20.53,10.54,8.115,24.42,25.86,113.615,90.96,Adult,Male
Tyrannus caudifasciatus,taylori,232171,MM,Smithsonian National Museum of Natural History,1912,3,18,Puerto Rico,Vieques,null,"Isabel Secunda, Vieques Island",null,22.15,10.395,null,23.125,22.38,115.14,94.23,Adult,Female
Tyrannus caudifasciatus,taylori,232172,MM,Smithsonian National Museum of Natural History,1912,3,25,Puerto Rico,Vieques,null,"Puerto Ferro, Vieques Island",null,19.365,10.06,8.4,23.185,23.705,111.81,92.31,Adult,Female
Tyrannus caudifasciatus,taylori,232173,MM,Smithsonian National Museum of Natural History,1912,3,25,Puerto Rico,Vieques,null,"Vieques Island, Puerto Ferro",null,19.99,9.915,8.1,23.815,25.125,118.85,96.23,SecondYear,Male
Tyrannus caudifasciatus,taylori,232174,MM,Smithsonian National Museum of Natural History,1912,3,29,Puerto Rico,Vieques,null,"Puerto Ferro, Vieques Island",null,20.435,10.45,8.52,24.14,25,112.77,93.29,Adult,Female
Tyrannus caudifasciatus,taylori,232175,MM,Smithsonian National Museum of Natural History,1912,3,29,Puerto Rico,Vieques,null,"Vieques Island, Puerto Ferro",null,20.87,9.925,8.335,24.66,26.3,118.82,97.4,Adult,Male
