taxon_name;family_name;date;sex;age;length;rwing;rtarsu;blenght;bheight;bwidth;occiput;tail;bmass
Galbula ruficauda;Galbulidae ;2001-08-19;I;A;22;7.9;1.16;4.51;0.71;1.11;7.33;8.44;22
Galbula ruficauda;Galbulidae ;2002-11-28;M;A;22.5;8.4;1.62;5.38;0.73;1.31;7.29;9.71;20
Galbula ruficauda;Galbulidae ;2002-11-28;F;A;21.5;7.57;1.45;4.7;0.65;0.6;2.75;9.15;19.5
Galbula ruficauda;Galbulidae ;2002-11-28;I;A;-;8;1.31;4.4;0.74;1.03;6.2;7.7;22
Galbula ruficauda;Galbulidae ;2004-10-16;M;A;-;8.01;-;-;-;-;-;-;22
Geothlypis aequinoctialis;Parulidae;1999-05-01;F;A;12.2;5.3;2.2;1.29;0.44;-;-;5.17;13
Geothlypis aequinoctialis;Parulidae;1999-08-28;F;A;12.6;5.7;2.25;1.11;0.39;0.74;3.09;5.72;13
Geothlypis aequinoctialis;Parulidae;1999-09-25;M;A;12.6;6;2.21;1.11;0.38;0.66;3.21;5.66;12
Geothlypis aequinoctialis;Parulidae;1999-09-25;M;A;12.5;5.8;2.25;1.17;0.41;0.69;3.18;5.56;13
Geothlypis aequinoctialis;Parulidae;1999-10-23;M;A;12.1;5.8;2.18;1.51;0.4;0.72;3.09;5.54;12.5
Geothlypis aequinoctialis;Parulidae;1999-10-23;M;A;12.6;6;2.19;1.43;0.4;0.71;3.08;5.87;13
Geothlypis aequinoctialis;Parulidae;2000-02-05;F;A;12.4;5.6;2.19;1.33;0.39;0.77;3.24;5.3;13.5
Geothlypis aequinoctialis;Parulidae;2000-03-18;F;A;12.9;6;2.28;1.15;0.4;0.79;3.17;5.79;-
Geothlypis aequinoctialis;Parulidae;2000-08-19;M;A;13.1;6.1;2.31;1.16;0.41;0.72;3.05;5.44;13.2
Geothlypis aequinoctialis;Parulidae;2000-09-17;M;A;12.5;5.4;2.27;1.24;0.41;0.82;3.06;5.17;11.7
Geothlypis aequinoctialis;Parulidae;2000-10-07;M;A;12.2;6;2.22;1.15;0.44;0.73;3.18;5.6;12.4
Geothlypis aequinoctialis;Parulidae;2000-12-17;F;A;-;-;-;-;-;-;-;-;14.2
Geothlypis aequinoctialis;Parulidae;2001-04-08;F;A;12.2;5.9;2.26;1.08;0.48;0.72;3.18;5.32;12.4
Geothlypis aequinoctialis;Parulidae;2002-02-06;F;A;-;-;-;-;-;-;-;-;14
Gnorimopsar chopi;Icteridae;2001-08-19;I;A;19.6;12.9;3.04;2.18;0.93;0.96;4.69;9.03;64.3
Gnorimopsar chopi;Icteridae;2001-08-19;I;A;24.5;12.9;3.3;2.64;1.05;1.2;4.86;10.05;70.4
Gnorimopsar chopi;Icteridae;2001-08-19;I;A;21;12.9;3.21;2.58;1.1;1.31;4.81;9.17;72.4
Heliactin bilophus;Trochilidae;2000-08-05;F;A;10.5;4.8;-;1.46;-;-;-;5.48;2.7
Heliactin bilophus;Trochilidae;2000-08-19;F;A;10.8;5.1;-;1.43;-;-;2.92;5.52;2.9
Heliactin bilophus;Trochilidae;2000-09-10;F;A;10.4;4.6;-;1.49;-;-;2.77;5.35;2.5
Heliomaster squamosus;Trochilidae;2000-12-14;F;A;12;5.8;-;3.07;-;-;3.97;4.11;7.7
Herpsilochmus atricapillus;Thamnophilidae;2001-03-21;F;A;12.3;6.5;2;1.28;0.41;0.83;3.01;6.26;10
Hirundinea ferruginea;Tyrannidae;2003-05-10;I;A;17;10.9;1.43;1.59;0.47;1.01;3.9;7.44;22.7
Hydropsalis maculicaudus;Caprimulgidae;2000-09-21;I;A;20.5;13.7;1.44;0.99;0.29;2.12;3.83;10.64;38.4
Hydropsalis maculicaudus;Caprimulgidae;2001-09-09;I;A;21;15;1.71;1.17;0.41;2.42;3.81;10.94;38.4
Hydropsalis parvula;Caprimulgidae;1999-10-16;I;I;7.6;4.6;1.31;1.46;0.4;1.46;-;0.94;16
Hydropsalis parvula;Caprimulgidae;2000-09-21;F;A;19.6;13.8;1.37;1.05;0.32;2.02;3.54;9.2;32.8
Hydropsalis parvula;Caprimulgidae;2000-11-12;F;A;21.1;14.6;1.39;1.25;0.48;2.09;3.89;10.6;40.7
Hydropsalis parvula;Caprimulgidae;2000-11-12;I;I;6.7;-;-;-;-;-;-;-;9.7
Hydropsalis parvula;Caprimulgidae;2000-12-16;F;A;19.7;14.8;1.42;1.01;0.32;1.99;3.66;10.4;30.5
Hydropsalis parvula;Caprimulgidae;2000-12-17;F;A;19.5;-;-;-;-;-;-;-;32.8
Hydropsalis parvula;Caprimulgidae;2001-10-15;M;A;20;13.9;1.92;1.03;0.33;2.32;3.54;10.19;42.7
Hydropsalis torquata;Caprimulgidae;2000-09-08;M;A;38.5;17.6;2.11;1.34;0.41;2.51;4.48;26.3;48.8
Hydropsalis torquata;Caprimulgidae;2000-09-08;F;A;28;16;2.12;1.38;0.39;2.34;4.58;16.7;57.7
Hydropsalis torquata;Caprimulgidae;2000-09-15;F;A;25.2;16.1;1.84;1.19;0.42;2.5;4.73;14.3;55
Hydropsalis torquata;Caprimulgidae;2000-10-06;F;A;26;16.6;1.89;1.48;0.33;2.41;4.73;13.6;46.7
Hydropsalis torquata;Caprimulgidae;2000-12-15;F;A;28;17.5;1.96;1.18;0.42;2.22;4.43;16.5;50.6
Lathrotriccus euleri;Tyrannidae;2001-08-12;I;A;12.5;6.6;1.83;1.14;0.41;1.05;2.91;6.27;11.4
Lathrotriccus euleri;Tyrannidae;2002-01-18;I;J;13.5;6.45;1.88;1.12;0.44;1.09;3.49;6.62;12.8
Lathrotriccus euleri;Tyrannidae;2002-11-28;I;A;13;6.55;1.39;1.33;0.5;1.06;3.28;5.76;10
Lathrotriccus euleri;Tyrannidae;2006-05-06;I;A;13.2;6.7;1.83;1.36;0.43;0.7;3.29;6.66;12
Lathrotriccus euleri;Tyrannidae;2006-05-06;I;I;12;6.5;1.91;1.34;0.43;0.65;3.66;5.59;11.1
Lepidocolaptes angustirostris;Dendrocolaptidae;1999-09-18;I;A;19.3;10.2;2.01;3.46;0.78;1.03;5.58;8.55;30
Lepidocolaptes angustirostris;Dendrocolaptidae;1999-10-24;I;A;19.6;9.9;2.06;3.32;0.59;1.25;5.74;8.05;30.5
Lepidocolaptes angustirostris;Dendrocolaptidae;2000-10-29;I;A;19.2;9.9;2.07;3.38;0.62;1.04;5.83;8.27;29.7
Lepidocolaptes angustirostris;Dendrocolaptidae;2000-12-18;I;J;18.6;9.5;2.1;2.96;0.59;1.24;5.16;8.28;28.2
Lepidocolaptes angustirostris;Dendrocolaptidae;2001-01-29;I;A;20.9;10.1;2.08;3.1;0.58;1.26;3.35;8.8;34.7
Lepidocolaptes angustirostris;Dendrocolaptidae;2001-07-17;I;A;21;10;1.96;3.24;0.55;0.91;5.67;8.08;30
Leptopogon amaurocephalus;Rhynchocyclidae ;1999-08-14;I;A;12.5;6.7;1.76;1.19;0.4;0.81;-;5.78;12
Leptopogon amaurocephalus;Rhynchocyclidae ;2002-11-28;I;I;-;-;-;0.9;-;0.67;3.1;-;12
Leptopogon amaurocephalus;Rhynchocyclidae ;2005-05-07;I;A;14.6;6.9;1.68;1.27;0.44;0.72;3.08;5.76;12.3
Leptotila rufaxilla;Columbidae;2005-11-19;I;A;23.4;13.5;2.88;2.33;0.76;0.69;4.73;9.8;-
Leptotila rufaxilla;Columbidae;2006-05-06;I;A;25.5;14.4;2.35;1.8;0.54;0.66;4.67;10.14;148.2
Leptotila rufaxilla;Columbidae;2006-05-06;I;A;26.5;13.6;2.87;1.9;0.65;0.77;4.61;9.41;138.2
Leptotila rufaxilla;Columbidae;2006-05-06;I;A;17.3;14.3;3.01;1.81;0.19;0.32;4.25;9.38;145
Leptotila rufaxilla;Columbidae;2006-12-21;I;A;28;19.64;3.28;2.15;0.61;0.88;4.79;11.21;212
Leptotila verreauxi;Columbidae;2000-10-21;I;A;27;13.7;3.42;1.6;0.54;0.74;4.82;10.93;163.7
Leptotila verreauxi;Columbidae;2000-12-16;I;A;27;14;2.86;1.56;0.56;0.83;4.47;11.13;160.7
Leptotila verreauxi;Columbidae;2000-12-18;I;A;26;14.6;2.75;1.59;0.56;0.83;4.73;11.45;155.7
Leptotila verreauxi;Columbidae;2000-12-18;I;A;26.2;14.5;2.77;1.71;0.53;0.85;4.81;10.87;148.3
Leptotila verreauxi;Columbidae;2001-01-29;I;A;27;14.5;2.98;1.67;0.54;0.92;4.68;11.4;160
Leptotila verreauxi;Columbidae;2001-01-29;I;A;26;14.2;2.12;1.11;0.46;0.89;4.54;10.97;160
Leptotila verreauxi;Columbidae;2001-03-20;I;A;26.5;14.6;2.89;1.64;0.51;0.9;4.57;11.68;158
Leptotila verreauxi;Columbidae;2001-08-12;I;J;-;-;2.35;-;0.76;0.84;4.7;7.4;73.4
Leptotila verreauxi;Columbidae;2001-09-08;I;A;27;14.5;2.42;2.1;0.71;0.95;4.59;11.07;167
Leptotila verreauxi;Columbidae;2001-10-13;I;A;26.2;13.9;2.58;1.65;0.48;0.78;4.61;10.5;152.4
Leptotila verreauxi;Columbidae;2002-02-05;I;A;-;-;3.24;1.54;0.53;1;4.4;-;153
Leptotila verreauxi;Columbidae;2002-02-05;I;A;-;13.56;2.5;1.74;0.56;0.93;4.74;11.23;157
Leptotila verreauxi;Columbidae;2002-02-06;I;A;26.3;14.1;2.94;1.71;0.58;0.89;4.21;10.4;140
Leptotila verreauxi;Columbidae;2002-05-29;I;A;24;13.4;2.58;1.6;0.55;0.76;4.73;11.94;140
Leptotila verreauxi;Columbidae;2002-05-30;I;A;26;14.5;2.42;1.65;0.56;0.95;4.81;12.5;144
Leptotila verreauxi;Columbidae;2002-07-12;I;A;-;-;-;-;-;-;-;-;153
Leucochloris albicollis;Trochilidae;2005-05-07;I;A;-;-;-;-;-;-;-;-;6.3
Machetornis rixosa ;Tyrannidae;2000-09-10;I;A;18;9.6;3.14;2.02;0.61;1.34;4.4;8.07;43.7
Megarynchus pitangua;Tyrannidae;2001-10-13;I;A;-;-;-;-;1.13;2.09;-;-;54.4
Megarynchus pitangua;Tyrannidae;2001-12-11;I;J;-;-;-;-;-;-;-;-;60.5
Megarynchus pitangua;Tyrannidae;2001-12-11;I;A;-;-;-;-;-;-;-;-;58.5
Megarynchus pitangua;Tyrannidae;2002-05-31;I;A;23.2;12;2.03;2.84;1.13;1.95;5.71;9.06;57.7
Mimus saturninus;Mimidae;1999-02-07;I;A;-;11.4;3.61;2.46;0.7;-;-;13.52;-
Mimus saturninus;Mimidae;2000-03-19;I;J;26.5;12.5;3.91;2;0.8;1.29;5.14;12.88;78
Mimus saturninus;Mimidae;2000-08-06;I;A;24.5;10.8;3.63;1.94;0.67;1.31;5.08;12.35;63.2
Mimus saturninus;Mimidae;2000-09-17;I;A;25.6;11;3.59;2;0.67;1.3;5.07;10.92;76
Mimus saturninus;Mimidae;2000-09-17;I;A;24;10.9;3.45;2.16;0.63;1.45;5.06;11.6;70
Mimus saturninus;Mimidae;2001-03-06;I;J;-;-;-;-;-;-;-;-;75.5
Mimus saturninus;Mimidae;2001-08-11;I;A;24;10.3;4.13;2.35;0.68;1.44;-;11.84;71
Mimus saturninus;Mimidae;2001-10-13;I;J;-;-;-;-;-;-;-;-;73.1
Mimus saturninus;Mimidae;2002-01-21;I;A;25;10.3;3.73;1.68;0.7;1.5;5.04;11.4;71.15
Mimus saturninus;Mimidae;2002-07-12;I;A;26.5;11;3.47;1.96;0.77;1.14;5.29;12.21;72
Mimus saturninus;Mimidae;2006-12-05;I;A;24;11.7;3.81;2.49;0.89;1.33;5;12.05;78.7
Molothrus bonariensis;Icteridae;2000-10-21;I;A;16.1;9.7;2.52;1.62;0.9;0.97;3.51;7.23;40.7
Molothrus bonariensis;Icteridae;2000-12-17;M;A;-;-;-;-;-;-;-;-;49.3
Molothrus bonariensis;Icteridae;2001-10-14;M;A;18;11.8;2.8;1.83;0.87;0.9;3.85;7.95;49.7
Molothrus bonariensis;Icteridae;2001-10-14;F;A;18.4;10.3;2.59;1.18;0.94;0.99;3.69;7.58;49.8
Molothrus bonariensis;Icteridae;2005-11-19;F;I;-;-;-;-;-;-;-;-;39
Molothrus bonariensis;Icteridae;2006-12-06;I;A;16.5;9.6;2.56;1.57;0.95;0.97;3.64;7.54;43.2
Myiarchus ferox;Tyrannidae;1999-09-25;I;A;18;8;2.01;1.9;0.59;1.14;4.3;8.75;24.5
Myiarchus ferox;Tyrannidae;1999-09-25;I;A;19.1;9.1;2.22;1.09;0.57;1;4.15;7.96;25
Myiarchus ferox;Tyrannidae;2001-01-30;I;A;19.6;9.6;2.03;1.94;0.64;1.38;4.32;9.7;26
Myiarchus ferox;Tyrannidae;2001-08-19;I;A;18.7;8.8;2.2;1.82;0.6;1.24;4.2;9.13;23.9
Myiarchus ferox;Tyrannidae;2001-09-08;I;A;19.5;8.8;2.11;1.79;0.68;1.36;4.4;8.11;37.4
Myiarchus ferox;Tyrannidae;2001-10-13;I;A;19;9.5;2;1.54;1.59;1.24;4.29;9.16;25
Myiarchus ferox;Tyrannidae;2001-11-13;I;A;17.5;8.5;2;1.76;0.77;1.08;4.26;8.72;23
Myiarchus ferox;Tyrannidae;2001-11-18;I;A;-;-;-;-;-;-;-;-;25.6
Myiarchus ferox;Tyrannidae;2001-11-18;I;A;-;-;-;-;-;-;-;-;27
Myiarchus ferox;Tyrannidae;2001-12-11;I;A;-;-;-;-;-;-;-;-;28.4
Myiarchus ferox;Tyrannidae;2002-11-28;I;A;17.5;9.4;2.26;1.73;0.45;0.98;4.05;8.2;24
Myiarchus ferox;Tyrannidae;2002-11-28;I;I;-;-;2.7;2.2;0.61;1.93;4.21;8.1;-
Myiarchus tyrannulus;Tyrannidae;2002-01-20;I;A;17;8;1.95;1.79;0.6;1.09;4.14;7.9;23.4
Myiarchus tyrannulus;Tyrannidae;2002-02-05;I;A;-;-;-;-;-;-;-;-;23
Myiarchus tyrannulus;Tyrannidae;2002-02-06;I;A;18.3;8.8;2;1.73;0.6;1.23;4.15;8.43;23.7
Myiodynastes maculatus;Tyrannidae;2004-10-16;I;A;20.8;11.2;2.3;2.37;0.84;1.34;5;9.6;52
Myiopagis viridicata;Tyrannidae;2001-10-13;I;A;16;5.7;1.64;0.8;0.38;0.28;2.91;5.04;11.3
Myiophobus fasciatus;Tyrannidae;1999-10-23;M;A;12.5;5.4;1.54;1.26;0.43;0.76;2.91;4.42;9.5
Myiophobus fasciatus;Tyrannidae;1999-10-23;M;A;11.5;5.6;1.66;1.31;0.39;0.89;2.85;5.18;10
Myiophobus fasciatus;Tyrannidae;1999-10-23;M;A;12.1;6.6;1.84;1.35;0.4;0.84;2.95;5.86;11
Myiophobus fasciatus;Tyrannidae;2000-10-21;M;A;12;5.8;1.77;1.36;0.4;0.87;3.1;5.29;9.2
Myiophobus fasciatus;Tyrannidae;2000-12-17;I;A;-;-;-;-;-;-;-;-;9.9
Myiophobus fasciatus;Tyrannidae;2000-12-17;I;A;-;-;-;-;-;-;-;-;9.9
Myiophobus fasciatus;Tyrannidae;2001-01-29;I;A;12;5.9;1.77;1.15;0.4;1;2.91;5.58;11.7
Myiophobus fasciatus;Tyrannidae;2001-01-30;I;J;11.7;5.8;1.72;1.34;0.41;0.94;3.06;5.53;11
Myiophobus fasciatus;Tyrannidae;2001-03-08;I;A;12.9;6.3;1.68;1.27;0.37;1.12;3.03;5.82;10.8
Myiophobus fasciatus;Tyrannidae;2001-07-16;M;A;12.5;6;2.84;0.93;0.34;0.83;2.93;5.51;11.7
Myiophobus fasciatus;Tyrannidae;2001-09-08;I;A;12.8;6;1.64;0.9;0.35;0.82;3;5.35;13.1
Myiophobus fasciatus;Tyrannidae;2002-02-05;F;A;-;-;-;-;-;-;-;-;9
Myiophobus fasciatus;Tyrannidae;2005-02-26;I;A;11.1;-;-;-;-;-;-;-;10.6
Myiophobus fasciatus;Tyrannidae;2007-03-31;I;A;11.8;5.7;2.07;1.32;0.4;0.9;2.94;5.9;10.7
Myiophobus fasciatus;Tyrannidae;2007-03-31;I;A;-;-;-;-;-;-;-;-;9.5
Myiothlypis flaveola;Parulidae;2000-02-04;I;A;13.5;-;-;-;-;-;-;-;14
Myiothlypis flaveola;Parulidae;2000-02-06;I;A;11;5.8;2.24;1.21;0.4;0.93;3.21;3.63;14
Myiothlypis flaveola;Parulidae;2001-01-30;I;A;13.9;6.6;2.27;1.17;0.38;0.77;3.14;6.75;13.1
Myiothlypis flaveola;Parulidae;2001-03-19;I;A;13;6.2;2.19;1.08;0.41;0.69;3.93;6.42;11.5
Myiothlypis flaveola;Parulidae;2001-03-19;I;A;13.1;5.8;2.19;1.22;0.36;0.77;3.15;5.77;12.2
Myiothlypis flaveola;Parulidae;2001-03-20;I;A;-;-;-;-;-;-;-;-;14.4
Myiothlypis flaveola;Parulidae;2001-03-21;I;A;13.5;6.5;2.29;1.22;0.39;0.77;3.02;6.93;12.7
Myiothlypis flaveola;Parulidae;2001-03-21;I;A;14.8;7.1;2.38;1.19;0.42;0.95;3.2;7.21;14
Myiothlypis flaveola;Parulidae;2002-01-22;I;A;14.86;6.01;2.36;1.02;0.36;0.65;3.11;6.99;13.4
Myiothlypis flaveola;Parulidae;2002-06-18;I;A;14;6.5;2.29;1.16;0.42;0.7;3.3;6.66;13
Myiothlypis flaveola;Parulidae;2002-07-12;I;A;-;-;-;-;-;-;-;-;10
Myiothlypis flaveola;Parulidae;2002-11-28;I;A;-;-;-;-;-;-;3.38;-;11.4
Myiothlypis flaveola;Parulidae;2002-11-28;I;A;15;6.5;2.2;1;0.5;0.7;3.02;6.08;14
Myiothlypis flaveola;Parulidae;2005-05-07;I;A;13.7;6.3;2.63;1.28;0.39;0.62;3.15;7.12;11.55
Myiothlypis flaveola;Parulidae;2005-05-07;I;A;13.5;6.2;2.62;1.63;0.36;0.92;3.21;6.51;11
Myiothlypis flaveola;Parulidae;2005-11-19;I;A;14;6.7;2.82;1.59;0.41;0.85;3.34;7.16;14.2
Myiothlypis flaveola;Parulidae;2007-03-31;I;A;13;6.2;2.26;1.4;0.46;0.75;3.32;6.11;12.2
Myiothlypis flaveola;Parulidae;2009-10-24;I;A;12.5;-;1.97;1.39;0.4;0.84;3.1;5.5;8.9
Myiozetetes similis;Tyrannidae;1999-09-19;I;A;17.1;8.9;1.94;1.31;0.48;1.05;3.5;7.66;28
Myiozetetes similis;Tyrannidae;1999-09-19;I;A;17.2;9.1;1.96;1.51;0.54;1.16;3.65;7.55;29
Myiozetetes similis;Tyrannidae;1999-09-26;I;A;17.2;10;1.92;1.47;0.52;1.01;3.67;8.36;30
Myiozetetes similis;Tyrannidae;1999-10-23;I;A;17.6;9;1.26;1.36;0.63;0.9;3.58;6.74;29.5
Myiozetetes similis;Tyrannidae;2001-08-19;I;I;-;9.4;2.04;1.26;0.53;0.94;3.55;7.64;-
Myiozetetes similis;Tyrannidae;2002-05-29;I;A;18.2;9.1;1.95;1.38;0.5;0.77;3.66;7.5;26.7
Myiozetetes similis;Tyrannidae;2002-11-28;I;A;16;8.8;2.4;1.4;0.5;1.25;3.6;6.7;26.2
Myiozetetes similis;Tyrannidae;2004-10-16;I;A;17.02;8.85;1.96;-;-;-;-;6.62;31
Myiozetetes similis;Tyrannidae;2005-02-26;I;A;17.4;-;-;-;-;-;-;-;27.9
Myiozetetes similis;Tyrannidae;2005-11-19;I;A;-;-;-;-;-;-;-;-;31
Myiozetetes similis;Tyrannidae;2005-11-19;I;A;-;-;-;-;-;-;-;-;19.5
Myiozetetes similis;Tyrannidae;2006-12-05;I;A;16.2;9.3;2.04;1.68;0.63;1.22;3.71;7.44;27.3
Nemosia pileata;Thraupidae ;1999-08-29;M;A;12.4;7.5;1.95;1.17;0.58;0.86;3.19;5.04;17
Nemosia pileata;Thraupidae ;2002-02-05;F;A;12.5;6.89;1.9;1.14;0.55;0.81;3.23;5;18
Nemosia pileata;Thraupidae ;2002-11-28;M;A;13.5;7.4;2.17;1.23;0.6;0.65;3.26;4.57;19
Nyctidromus albicollis;Caprimulgidae;2000-10-07;F;A;26;15.8;2.52;1.03;0.33;3.29;4.45;14.2;59.7
Nyctidromus albicollis;Caprimulgidae;2001-02-02;F;A;27;17.5;2.76;1.35;0.37;2.91;4.54;15.35;62
Nyctidromus albicollis;Caprimulgidae;2001-03-06;M;A;31;17.7;2.68;1.3;0.36;3.74;4.86;17.5;85
Nyctidromus albicollis;Caprimulgidae;2001-04-03;M;A;29.5;17.1;3.01;1.15;0.43;2.5;4.55;16.3;84.6
Nyctidromus albicollis;Caprimulgidae;2001-04-03;M;J;30;18.4;2.94;1.24;0.38;3.03;4.83;16.3;98.6
Nystalus chacuru;Bucconidae;2000-12-18;I;A;17.3;7.9;2.27;2.29;1.22;1.9;5.45;6.24;48.2
Pachyramphus polychopterus;Tityridae ;1999-10-23;M;A;15;8.1;2.09;1.54;0.63;1.29;3.83;6.29;20.5
Pachyramphus polychopterus;Tityridae ;1999-10-23;F;A;14.1;7.3;2.18;1.3;0.59;1.32;3.74;5.72;19
Pachyramphus polychopterus;Tityridae ;1999-10-23;M;A;15;8;2;1.6;0.61;1.17;3.82;6.38;23
Pachyramphus polychopterus;Tityridae ;2000-12-14;M;A;15.3;8.6;2.01;1.24;0.65;1.3;3.55;6.59;21.9
Pachyramphus polychopterus;Tityridae ;2001-11-13;M;A;15.2;7.65;1.96;1.3;0.54;0.75;3.77;6.74;21.2
Phacellodomus ruber;Furnariidae;2000-08-20;I;A;19;7.3;2.39;1.73;0.67;1.19;4.24;10.29;34.7
Phacellodomus rufifrons;Furnariidae;1999-02-07;I;A;-;6.3;2;1.35;0.53;-;-;5.83;24
Phacellodomus rufifrons;Furnariidae;1999-02-07;I;A;-;6.3;2.08;1.39;0.51;-;-;7.07;25
Phacellodomus rufifrons;Furnariidae;1999-02-07;I;A;-;6.3;2.12;1.38;0.55;-;-;7.55;26
Phacellodomus rufifrons;Furnariidae;1999-02-07;I;A;-;6.5;2.07;1.41;0.56;-;-;7.4;-
Phacellodomus rufifrons;Furnariidae;1999-02-07;I;A;-;6.3;2.27;1.47;0.54;-;-;7.7;25
Phacellodomus rufifrons;Furnariidae;1999-02-28;I;A;15.8;6.1;2.19;1.45;0.53;-;-;7.27;24.5
Phacellodomus rufifrons;Furnariidae;1999-02-28;I;A;15.5;6.2;2.23;1.5;0.55;-;-;7.2;24
Phacellodomus rufifrons;Furnariidae;1999-02-28;I;A;15.5;6.2;2.18;1.5;0.52;-;-;7.01;22.5
Phacellodomus rufifrons;Furnariidae;1999-03-07;I;J;15.5;6;2.25;1.43;0.51;-;-;6.96;24
Phacellodomus rufifrons;Furnariidae;1999-03-20;I;A;16;6.5;2.09;1.34;0.49;-;-;7.24;-
Phacellodomus rufifrons;Furnariidae;1999-03-20;I;A;15;6.2;2.27;1.3;0.48;-;-;7.08;23.5
Phacellodomus rufifrons;Furnariidae;1999-03-20;I;A;14.7;6.1;2.3;1.04;0.57;-;-;5.28;23.5
Phacellodomus rufifrons;Furnariidae;1999-03-21;I;A;15.2;6.2;2.61;1.38;0.45;-;-;6.01;23
Phacellodomus rufifrons;Furnariidae;1999-03-22;I;A;17.2;6.2;2.19;1.91;0.55;-;-;7.64;24
Phacellodomus rufifrons;Furnariidae;1999-03-22;I;A;16.3;5.9;2.17;1.45;0.57;-;-;7.2;25
Phacellodomus rufifrons;Furnariidae;1999-03-23;I;A;16.3;6.2;2.13;1.23;0.4;-;-;7;22.5
Phacellodomus rufifrons;Furnariidae;1999-05-01;I;J;15.2;6.7;2.14;1.36;0.46;-;-;6.67;23
Phacellodomus rufifrons;Furnariidae;1999-05-01;I;J;15.6;6;2.19;1.34;0.48;-;-;6.55;24.5
Phacellodomus rufifrons;Furnariidae;1999-05-01;I;A;15.2;6.2;2.2;1.41;0.53;-;-;6.93;25
Phacellodomus rufifrons;Furnariidae;1999-05-01;I;A;15.3;5.9;2.13;1.37;0.5;-;-;7.14;21
Phacellodomus rufifrons;Furnariidae;1999-08-15;I;A;15;6.2;2.11;1.45;0.59;0.98;-;6.5;23
Phacellodomus rufifrons;Furnariidae;1999-08-15;I;A;15.2;6.4;2.19;1.51;0.52;0.79;-;7.15;23
Phacellodomus rufifrons;Furnariidae;1999-08-29;I;A;9;6.2;2.19;1.44;0.53;0.91;3.58;-;22
Phacellodomus rufifrons;Furnariidae;1999-09-18;I;A;16;6.5;2.19;1.48;0.56;0.91;3.68;7.53;24.5
Phacellodomus rufifrons;Furnariidae;1999-09-18;I;A;15.6;6.9;2.19;1.51;0.52;0.96;3.22;7.35;23
Phacellodomus rufifrons;Furnariidae;1999-09-19;I;A;16.5;6.5;2.19;1.49;0.54;0.88;3.74;7.73;25
Phacellodomus rufifrons;Furnariidae;1999-09-19;I;A;15.2;6.6;2.13;1.32;0.53;0.87;3.52;7.13;22.5
Phacellodomus rufifrons;Furnariidae;1999-09-19;I;A;15.9;6.6;2.24;1.51;0.54;0.91;3.76;7.02;-
Phacellodomus rufifrons;Furnariidae;1999-10-23;I;A;16.3;6.7;2.29;1.53;0.51;0.98;3.74;7.17;26
Phacellodomus rufifrons;Furnariidae;1999-10-23;I;A;15.3;6.2;2.09;1.43;0.55;0.86;3.65;7.03;22.5
Phacellodomus rufifrons;Furnariidae;1999-11-06;I;A;15;6.5;2.15;1.38;0.54;0.97;3.64;7.56;25
Phacellodomus rufifrons;Furnariidae;1999-11-06;I;A;16;6.4;2.29;1.3;0.6;0.93;3.64;8.2;27
Phacellodomus rufifrons;Furnariidae;2000-02-19;I;J;15.5;6.2;2.18;1.47;0.56;1.09;3.61;7.56;24.5
Phacellodomus rufifrons;Furnariidae;2000-02-19;I;I;15.4;6.3;2.06;1.26;0.58;1.09;3.49;7.39;22.5
Phacellodomus rufifrons;Furnariidae;2000-02-19;I;I;16.6;6.2;2.24;1.48;0.55;1.01;3.76;7.54;24.4
Phacellodomus rufifrons;Furnariidae;2000-02-19;I;I;15.3;6;2.16;1.53;0.56;1;3.64;7.57;24.2
Phacellodomus rufifrons;Furnariidae;2000-02-19;I;I;16.9;6.1;2.22;1.44;0.55;1.04;3.18;7.49;23.8
Phacellodomus rufifrons;Furnariidae;2000-02-20;I;A;15.8;6.3;2.16;1.42;0.6;1.03;3.73;6.8;25
Phacellodomus rufifrons;Furnariidae;2000-02-20;I;A;16.2;6.2;2.19;1.35;0.6;1.12;3.65;7.77;26
Phacellodomus rufifrons;Furnariidae;2000-03-19;I;A;16;6.5;2.12;1.39;0.59;1;3.68;7.65;24.1
Phacellodomus rufifrons;Furnariidae;2000-03-19;I;A;15.5;6.1;2.03;1.43;0.54;0.93;3.56;6.86;22
Phacellodomus rufifrons;Furnariidae;2000-04-09;I;A;17.3;6.4;2.26;1.5;0.6;1.09;3.84;7.87;27
Phacellodomus rufifrons;Furnariidae;2000-08-06;I;A;16.1;6.5;2.24;1.36;0.54;0.45;3.55;8.18;23.1
Phacellodomus rufifrons;Furnariidae;2000-08-14;I;A;15.6;6.3;2.11;1.37;0.55;1.04;3.69;7.64;24.4
Phacellodomus rufifrons;Furnariidae;2000-08-19;I;A;16;6.5;2.12;1.46;0.56;0.89;3.63;7.81;23.8
Phacellodomus rufifrons;Furnariidae;2000-08-20;I;A;15.5;6.4;2.07;1.34;0.53;1.01;3.64;7.82;21.6
Phacellodomus rufifrons;Furnariidae;2000-09-17;I;A;17;7.5;2.2;1.48;0.48;0.56;3.43;7.5;23.6
Phacellodomus rufifrons;Furnariidae;2000-09-17;I;A;13.5;6.3;2.06;1.33;0.54;0.96;3.56;-;22.8
Phacellodomus rufifrons;Furnariidae;2000-10-07;I;A;16.6;6.6;2.13;1.53;0.62;1.19;3.83;7.98;27.7
